farm_id,crop_type,crop_confidence
185,Groundnut,low
186,Groundnut,low
187,Maize,low
188,Groundnut,low
189,Maize,low
190,Maize,low
191,Bajra,low
192,Bajra,low
193,Groundnut,low
194,Maize,low
195,Cotton,high
196,Maize,low
197,Bajra,low
198,Maize,low
199,Groundnut,low
200,Rice,high
201,Groundnut,low
202,Maize,low
203,Maize,low
204,Groundnut,low
205,Rice,high
206,Groundnut,low
207,Cotton,high
208,Groundnut,low
209,Groundnut,low
210,Groundnut,low
211,Maize,low
212,Maize,low
213,Rice,high
214,Groundnut,low
215,Cotton,high
216,Rice,high
217,Maize,low
218,Rice,high
219,Rice,high
220,Bajra,low
221,Cotton,high
222,Maize,low
223,Maize,low
224,Bajra,low
225,Bajra,low
226,Bajra,low
227,Groundnut,low
228,Bajra,low
229,Cotton,high
230,Rice,high
231,Maize,low
232,Maize,low
233,Maize,low
234,Groundnut,low
235,Rice,high
236,Cotton,high
237,Maize,low
238,Groundnut,low
239,Cotton,high
240,Groundnut,low
241,Maize,low
242,Maize,low
243,Bajra,low
244,Groundnut,low
245,Bajra,low
246,Cotton,low
247,Groundnut,low
248,Rice,high
249,Maize,low
250,Groundnut,low
251,Cotton,high
252,Cotton,high
253,Rice,high
254,Cotton,high
255,Bajra,low
256,Maize,low
257,Groundnut,low
258,Maize,low
259,Maize,low
260,Cotton,high
261,Groundnut,low
262,Maize,low
263,Rice,high
264,Groundnut,low
265,Groundnut,low
266,Maize,low
267,Cotton,high
268,Rice,high
269,Maize,low
270,Maize,low
271,Groundnut,low
272,Maize,low
273,Maize,low
274,Rice,high
275,Maize,low
276,Bajra,low
277,Maize,low
278,Groundnut,low
279,Maize,low
280,Maize,low
281,Groundnut,low
282,Cotton,high
283,Groundnut,low
284,Maize,low
285,Groundnut,low
286,Groundnut,low
287,Rice,high
288,Maize,low
289,Groundnut,low
290,Rice,high
291,Maize,low
292,Rice,high
293,Maize,low
294,Rice,high
295,Groundnut,low
296,Groundnut,low
297,Maize,low
298,Maize,low
299,Maize,low
300,Groundnut,low
301,Bajra,low
302,Bajra,low
303,Groundnut,low
304,Groundnut,low
305,Maize,low
306,Maize,low
307,Maize,low
308,Maize,low
309,Cotton,high
310,Maize,low
311,Maize,low
312,Bajra,low
313,Maize,low
314,Maize,low
315,Cotton,high
316,Groundnut,low
317,Maize,low
318,Bajra,low
319,Maize,low
320,Rice,high
321,Groundnut,low
322,Groundnut,low
323,Bajra,low
324,Rice,high
325,Cotton,high
326,Rice,high
327,Cotton,high
328,Maize,low
329,Bajra,low
330,Groundnut,low
331,Maize,low
332,Bajra,low
333,Bajra,low
334,Cotton,high
335,Bajra,low
336,Bajra,low
337,Groundnut,low
338,Cotton,high
339,Groundnut,low
340,Maize,low
341,Maize,low
342,Maize,low
343,Maize,low
344,Rice,high
345,Bajra,low
346,Bajra,low
347,Maize,low
348,Bajra,low
349,Groundnut,low
350,Maize,low
351,Groundnut,low
352,Cotton,high
353,Cotton,high
354,Maize,low
355,Cotton,high
356,Groundnut,low
357,Maize,low
358,Maize,low
359,Cotton,high
360,Bajra,low
361,Maize,low
362,Bajra,low
363,Maize,low
364,Maize,low
365,Bajra,low
366,Maize,low
367,Bajra,low
368,Maize,low
369,Maize,low
370,Groundnut,low
371,Groundnut,low
372,Groundnut,low
373,Maize,low
374,Groundnut,low
375,Bajra,low
376,Groundnut,low
377,Maize,low
378,Cotton,high
379,Maize,low
380,Rice,high
381,Cotton,high
382,Cotton,high
383,Maize,low
384,Maize,low
385,Maize,low
386,Maize,low
387,Maize,low
388,Groundnut,low
389,Maize,low
390,Groundnut,low
391,Groundnut,low
392,Groundnut,low
393,Groundnut,low
394,Groundnut,low
395,Groundnut,low
396,Groundnut,low
397,Groundnut,low
398,Groundnut,low
399,Groundnut,low
400,Groundnut,low
401,Groundnut,low
402,Groundnut,low
403,Groundnut,low
404,Groundnut,low
405,Groundnut,low
406,Groundnut,low
407,Groundnut,low
408,Groundnut,low
409,Groundnut,low
410,Groundnut,low
411,Groundnut,low
412,Groundnut,low
413,Groundnut,low
414,Groundnut,low
415,Groundnut,low
416,Groundnut,low
417,Groundnut,low
418,Groundnut,low
419,Groundnut,low
420,Bajra,low
421,Cotton,high
422,Bajra,low
423,Bajra,low
424,Maize,low
425,Groundnut,low
426,Groundnut,low
427,Bajra,low
428,Bajra,low
429,Groundnut,low
430,Groundnut,low
431,Bajra,low
432,Maize,low
433,Maize,low
434,Groundnut,low
435,Maize,low
436,Groundnut,low
437,Maize,low
438,Maize,low
439,Bajra,low
440,Maize,low
441,Groundnut,low
442,Cotton,high
443,Maize,low
444,Groundnut,low
445,Groundnut,low
446,Groundnut,low
447,Groundnut,low
448,Groundnut,low
449,Groundnut,low
450,Groundnut,low
451,Groundnut,low
452,Cotton,high
453,Groundnut,low
454,Bajra,low
455,Bajra,low
456,Groundnut,low
457,Maize,low
458,Groundnut,low
459,Cotton,high
460,Maize,low
461,Bajra,low
462,Cotton,high
463,Maize,low
464,Cotton,high
465,Groundnut,low
466,Maize,low
467,Maize,low
468,Maize,low
469,Groundnut,low
470,Maize,low
471,Groundnut,low
472,Maize,low
473,Bajra,low
474,Groundnut,low
475,Cotton,high
476,Bajra,low
477,Bajra,low
478,Bajra,low
479,Maize,low
480,Maize,low
481,Bajra,low
482,Groundnut,low
483,Maize,low
484,Maize,low
485,Maize,low
486,Bajra,low
487,Maize,low
488,Maize,low
489,Bajra,low
490,Groundnut,low
491,Maize,low
492,Groundnut,low
493,Maize,low
494,Groundnut,low
495,Bajra,low
496,Maize,low
497,Groundnut,low
498,Maize,low
499,Bajra,low
500,Groundnut,low
501,Groundnut,low
502,Maize,low
503,Bajra,low
504,Groundnut,low
505,Bajra,low
506,Bajra,low
507,Bajra,low
508,Bajra,low
509,Bajra,low
510,Groundnut,low
511,Rice,high
512,Maize,low
513,Bajra,low
514,Groundnut,low
515,Maize,low
516,Maize,low
517,Rice,high
518,Bajra,low
519,Groundnut,low
520,Groundnut,low
521,Maize,low
522,Maize,low
523,Cotton,high
524,Cotton,high
525,Bajra,low
526,Cotton,high
527,Cotton,high
528,Cotton,high
529,Groundnut,low
530,Cotton,high
531,Groundnut,low
532,Bajra,low
533,Rice,high
534,Bajra,low
535,Groundnut,low
536,Groundnut,low
537,Groundnut,low
538,Bajra,low
539,Groundnut,low
540,Maize,low
541,Maize,low
542,Groundnut,low
543,Groundnut,low
544,Maize,low
545,Bajra,low
546,Rice,high
547,Cotton,high
548,Maize,low
549,Groundnut,low
550,Groundnut,low
551,Bajra,low
552,Bajra,low
553,Bajra,low
554,Bajra,low
555,Cotton,high
556,Rice,high
557,Rice,high
558,Bajra,low
559,Rice,high
560,Bajra,low
561,Rice,high
562,Rice,high
563,Rice,high
564,Groundnut,low
565,Groundnut,low
566,Maize,low
567,Maize,low
568,Rice,high
569,Cotton,high
570,Rice,high
571,Groundnut,low
572,Maize,low
573,Cotton,high
574,Cotton,high
575,Maize,low
576,Maize,low
577,Groundnut,low
578,Rice,high
579,Rice,high
580,Groundnut,low
581,Groundnut,low
582,Rice,high
583,Cotton,high
584,Rice,high
585,Rice,high
586,Cotton,high
587,Groundnut,low
588,Maize,low
589,Bajra,low
590,Groundnut,low
591,Maize,low
592,Maize,low
593,Groundnut,low
594,Rice,high
595,Rice,high
596,Groundnut,low
597,Maize,low
598,Maize,low
599,Maize,low
600,Groundnut,low
601,Bajra,low
602,Groundnut,low
603,Maize,low
604,Maize,low
605,Groundnut,low
606,Cotton,high
607,Groundnut,low
608,Rice,high
609,Groundnut,low
610,Groundnut,low
611,Bajra,low
612,Groundnut,low
613,Groundnut,low
614,Groundnut,low
615,Rice,high
616,Cotton,high
617,Maize,low
618,Maize,low
619,Maize,low
620,Bajra,low
621,Maize,low
622,Bajra,low
623,Bajra,low
624,Groundnut,low
625,Groundnut,low
626,Groundnut,low
627,Maize,low
628,Maize,low
629,Bajra,low
630,Bajra,low
631,Maize,low
632,Bajra,low
633,Bajra,low
634,Bajra,low
635,Bajra,low
636,Groundnut,low
637,Bajra,low
638,Bajra,low
639,Bajra,low
640,Maize,low
641,Maize,low
642,Groundnut,low
643,Maize,low
644,Bajra,low
645,Rice,high
646,Bajra,low
647,Groundnut,low
648,Groundnut,low
649,Maize,low
650,Cotton,high
651,Bajra,low
652,Maize,low
653,Maize,low
654,Bajra,low
655,Maize,low
656,Bajra,low
657,Maize,low
658,Maize,low
659,Groundnut,low
660,Bajra,low
661,Groundnut,low
662,Rice,high
663,Groundnut,low
664,Cotton,high
665,Cotton,high
666,Rice,high
667,Groundnut,low
668,Cotton,high
669,Cotton,high
670,Bajra,low
671,Cotton,low
672,Cotton,high
673,Maize,low
674,Bajra,low
675,Maize,low
676,Cotton,high
677,Cotton,high
678,Maize,low
679,Rice,high
680,Bajra,low
681,Groundnut,low
682,Groundnut,low
683,Maize,low
684,Groundnut,low
685,Groundnut,low
686,Maize,low
687,Groundnut,low
688,Bajra,low
689,Groundnut,low
690,Groundnut,low
691,Bajra,low
692,Bajra,low
693,Maize,low
694,Rice,high
695,Maize,low
696,Groundnut,low
697,Groundnut,low
698,Maize,low
699,Maize,low
700,Cotton,high
701,Bajra,low
702,Cotton,high
703,Groundnut,low
704,Cotton,high
705,Rice,high
706,Bajra,low
707,Maize,low
708,Cotton,high
709,Maize,low
710,Rice,high
711,Groundnut,low
712,Groundnut,low
713,Groundnut,low
714,Cotton,high
715,Rice,high
716,Maize,low
717,Groundnut,low
718,Maize,low
719,Rice,high
720,Rice,high
721,Rice,high
722,Rice,high
723,Rice,high
724,Rice,high
725,Cotton,high
726,Maize,low
727,Cotton,high
728,Bajra,low
729,Rice,high
730,Rice,high
731,Groundnut,low
732,Groundnut,low
733,Rice,high
734,Rice,high
735,Rice,high
736,Groundnut,low
737,Maize,low
738,Groundnut,low
739,Groundnut,low
740,Cotton,high
741,Groundnut,low
742,Maize,low
743,Maize,low
744,Bajra,low
745,Groundnut,low
746,Groundnut,low
747,Bajra,low
748,Maize,low
749,Groundnut,low
750,Maize,low
751,Groundnut,low
752,Groundnut,low
753,Groundnut,low
754,Rice,high
755,Groundnut,low
756,Groundnut,low
757,Cotton,high
758,Groundnut,low
759,Maize,low
760,Maize,low
761,Maize,low
762,Bajra,low
763,Maize,low
764,Groundnut,low
765,Maize,low
766,Groundnut,low
767,Maize,low
768,Maize,low
769,Maize,low
770,Groundnut,low
771,Maize,low
772,Groundnut,low
773,Maize,low
774,Bajra,low
775,Maize,low
776,Cotton,high
777,Bajra,low
778,Bajra,low
779,Bajra,low
780,Bajra,low
781,Cotton,high
782,Maize,low
783,Groundnut,low
784,Bajra,low
785,Cotton,high
786,Cotton,high
787,Bajra,low
788,Cotton,high
789,Groundnut,low
790,Maize,low
791,Bajra,low
792,Maize,low
793,Maize,low
794,Bajra,low
795,Rice,high
796,Groundnut,low
797,Groundnut,low
798,Maize,low
799,Cotton,high
800,Bajra,low
801,Maize,low
802,Maize,low
803,Maize,low
804,Bajra,low
805,Bajra,low
806,Bajra,low
807,Cotton,high
808,Groundnut,low
809,Bajra,low
810,Maize,low
811,Maize,low
812,Groundnut,low
813,Maize,low
814,Rice,high
815,Bajra,low
816,Bajra,low
817,Bajra,low
818,Maize,low
819,Bajra,low
820,Maize,low
821,Bajra,low
822,Cotton,high
823,Bajra,low
824,Maize,low
825,Maize,low
826,Bajra,low
827,Bajra,low
828,Bajra,low
829,Groundnut,low
830,Groundnut,low
831,Bajra,low
832,Groundnut,low
833,Groundnut,low
834,Maize,low
835,Bajra,low
836,Bajra,low
837,Bajra,low
838,Bajra,low
839,Maize,low
840,Maize,low
841,Groundnut,low
842,Groundnut,low
843,Bajra,low
844,Maize,low
845,Rice,high
846,Bajra,low
847,Maize,low
848,Maize,low
849,Cotton,high
850,Groundnut,low
851,Maize,low
852,Groundnut,low
853,Groundnut,low
854,Cotton,high
855,Maize,low
856,Bajra,low
857,Maize,low
858,Bajra,low
859,Maize,low
860,Bajra,low
861,Groundnut,low
862,Groundnut,low
863,Groundnut,low
864,Cotton,high
865,Bajra,low
866,Groundnut,low
867,Maize,low
868,Maize,low
869,Maize,low
870,Rice,high
871,Bajra,low
872,Maize,low
873,Groundnut,low
874,Bajra,low
875,Groundnut,low
876,Maize,low
877,Cotton,high
878,Groundnut,low
879,Maize,low
880,Maize,low
881,Maize,low
882,Bajra,low
883,Maize,low
884,Groundnut,low
885,Cotton,high
886,Cotton,high
887,Bajra,low
888,Bajra,low
889,Maize,low
890,Bajra,low
891,Maize,low
892,Cotton,high
893,Rice,high
894,Cotton,high
895,Groundnut,low
896,Bajra,low
897,Groundnut,low
898,Groundnut,low
899,Maize,low
900,Bajra,low
901,Groundnut,low
902,Groundnut,low
903,Groundnut,low
904,Cotton,high
905,Groundnut,low
906,Groundnut,low
907,Bajra,low
908,Maize,low
909,Groundnut,low
910,Groundnut,low
911,Maize,low
912,Groundnut,low
913,Bajra,low
914,Cotton,high
915,Maize,low
916,Maize,low
917,Bajra,low
918,Maize,low
919,Maize,low
920,Maize,low
921,Bajra,low
922,Groundnut,low
923,Bajra,low
924,Rice,high
925,Rice,high
926,Rice,high
927,Bajra,low
928,Maize,low
929,Groundnut,low
930,Maize,low
931,Groundnut,low
932,Groundnut,low
933,Maize,low
934,Maize,low
935,Maize,low
936,Bajra,low
937,Groundnut,low
938,Bajra,low
939,Groundnut,low
940,Maize,low
941,Groundnut,low
942,Maize,low
943,Maize,low
944,Maize,low
945,Groundnut,low
946,Cotton,high
947,Maize,low
948,Bajra,low
949,Groundnut,low
950,Rice,low
951,Bajra,low
952,Groundnut,low
953,Maize,low
954,Maize,low
955,Maize,low
956,Maize,low
957,Groundnut,low
958,Bajra,low
959,Bajra,low
960,Maize,low
961,Maize,low
962,Bajra,low
963,Maize,low
964,Maize,low
965,Maize,low
966,Maize,low
